truckid,driverid,rdate,miles,gas,mpg
A2,A2,oct11,11296,2135,5.290866511
A2,A2,sep11,10224,2027,5.043907252
A2,A2,aug11,14595,3013,4.844009293
A2,A2,jul11,13769,2980,4.620469799
A2,A2,jun11,10377,1827,5.679802956
A2,A2,may11,12786,1827,6.998357964
A2,A2,apr11,14364,1827,7.862068966
A2,A2,mar11,8978,1827,4.914066776
A2,A2,feb11,9259,1827,5.067870826
A2,A2,jan11,9545,1827,5.224411604
A2,A2,dec10,13100,1827,7.170224412
A2,A2,nov10,8529,1827,4.668308703
A2,A2,oct10,9667,1827,5.291187739
A2,A2,sep10,13264,1827,7.259989053
A2,A2,aug10,12070,1827,6.606458675
A2,A2,jul10,10367,1827,5.674329502
A2,A2,jun10,13829,1827,7.56923919
A2,A2,may10,10942,1827,5.989053093
A2,A2,apr10,10463,1827,5.726874658
A2,A2,mar10,9406,1827,5.148330597
A2,A2,feb10,14755,1827,8.076081007
A2,A2,jan10,14043,1827,7.6863711
A2,A2,dec09,11656,1827,6.37985769
A2,A2,nov09,14744,1827,8.070060208
A2,A2,oct09,13797,1827,7.551724138
A2,A2,sep09,9660,1827,5.287356322
A2,A2,aug09,10283,1827,5.62835249
A2,A2,jul09,12034,1827,6.586754242
A2,A2,jun09,11719,1827,6.414340449
A2,A2,may09,13912,1827,7.614668856
A2,A2,apr09,11892,1827,6.509031199
A2,A2,mar09,15158,1827,8.296661193
A2,A2,feb09,12774,1827,6.991789819
A2,A2,jan09,11743,1827,6.427476738
A3,A3,jun13,13652,2899,4.709210072
A3,A3,may13,12075,2603,4.638878217
A3,A3,apr13,12277,2792,4.397206304
A3,A3,mar13,9642,1864,5.172746781
A3,A3,feb13,8606,1796,4.791759465
A3,A3,jan13,13089,2796,4.681330472
A3,A3,dec12,10762,2099,5.12720343
A3,A3,nov12,10250,1857,5.519655358
A3,A3,oct12,9312,2046,4.551319648
A3,A3,sep12,8437,1728,4.882523148
A3,A3,aug12,13905,2789,4.985657942
A3,A3,jul12,14079,2965,4.748397976
A3,A3,jun12,12761,2708,4.712333826
A3,A3,may12,13264,2754,4.816267248
A3,A3,apr12,12957,2529,5.123368921
A3,A3,mar12,12598,2581,4.881053855
A3,A3,feb12,13291,2644,5.026853253
A3,A3,jan12,9433,1881,5.014885699
A3,A3,dec11,13980,2503,5.585297643
A3,A3,nov11,8592,1909,4.500785752
A3,A3,oct11,11978,2572,4.657076205
A3,A3,sep11,10921,2299,4.750326229
A3,A3,aug11,13774,2956,4.659675237
A3,A3,jul11,9451,1940,4.871649485
A3,A3,jun11,13420,3064,4.379895561
A3,A3,may11,11378,3064,3.713446475
A3,A3,apr11,13573,3064,4.429830287
A3,A3,mar11,11635,3064,3.79732376
A3,A3,feb11,9577,3064,3.125652742
A3,A3,jan11,10780,3064,3.518276762
A3,A3,dec10,12490,3064,4.076370757
A3,A3,nov10,15127,3064,4.937010444
A3,A3,oct10,11524,3064,3.761096606
A3,A3,sep10,14234,3064,4.645561358
A3,A3,aug10,14551,3064,4.749020888
A3,A3,jul10,12213,3064,3.985966057
A3,A3,jun10,14079,3064,4.59497389
A3,A3,may10,11040,3064,3.603133159
A3,A3,apr10,10460,3064,3.41383812
A3,A3,mar10,15435,3064,5.037532637
A3,A3,feb10,12811,3064,4.18113577
A3,A3,jan10,12616,3064,4.117493473
A3,A3,dec09,10743,3064,3.506201044
A3,A3,nov09,11732,3064,3.828981723
A3,A3,oct09,9429,3064,3.077349869
A3,A3,sep09,9025,3064,2.945496084
A3,A3,aug09,9547,3064,3.115861619
A3,A3,jul09,11267,3064,3.677219321
A3,A3,jun09,11205,3064,3.656984334
A3,A3,may09,9821,3064,3.205287206
A3,A3,apr09,15224,3064,4.968668407
A3,A3,mar09,11209,3064,3.658289817
A3,A3,feb09,14203,3064,4.635443864
A3,A3,jan09,10150,3064,3.312663185
A4,A4,jun13,12687,2439,5.201722017
A4,A4,may13,10680,2083,5.127220355
A4,A4,apr13,11071,2599,4.259715275
A4,A4,mar13,12302,2361,5.210504024
A4,A4,feb13,8845,1816,4.870594714
A4,A4,jan13,14130,2929,4.824172072
A4,A4,dec12,12316,2702,4.558105107
A4,A4,nov12,11999,2377,5.047959613
A4,A4,oct12,14679,3455,4.248625181
A4,A4,sep12,13835,3232,4.280631188
A4,A4,aug12,13385,2966,4.512811868
A4,A4,jul12,11443,2582,4.431835786
A4,A4,jun12,9290,2092,4.440726577
A4,A4,may12,11702,2129,5.496477219
A4,A4,apr12,15261,3560,4.286797753
A4,A4,mar12,11947,2155,5.543851508
A4,A4,feb12,9782,2048,4.776367188
A4,A4,jan12,11507,2639,4.360363774
A4,A4,dec11,12157,2582,4.708365608
A4,A4,nov11,10861,2021,5.374072241
A4,A4,oct11,13122,2981,4.401878564
A4,A4,sep11,11069,1971,5.615930999
A4,A4,aug11,12312,2363,5.210325857
A4,A4,jul11,10386,1897,5.474960464
A4,A4,jun11,8714,2965,2.938954469
A4,A4,may11,10235,2965,3.451939292
A4,A4,apr11,10090,2965,3.403035413
A4,A4,mar11,14085,2965,4.750421585
A4,A4,feb11,14434,2965,4.868128162
A4,A4,jan11,14256,2965,4.808094435
A4,A4,dec10,9737,2965,3.283979764
A4,A4,nov10,13118,2965,4.424283305
A4,A4,oct10,9862,2965,3.32613828
A4,A4,sep10,13570,2965,4.576728499
A4,A4,aug10,14179,2965,4.782124789
A4,A4,jul10,13989,2965,4.718043845
A4,A4,jun10,12950,2965,4.36762226
A4,A4,may10,11157,2965,3.762900506
A4,A4,apr10,8673,2965,2.925126476
A4,A4,mar10,15177,2965,5.118718381
A4,A4,feb10,9579,2965,3.2306914
A4,A4,jan10,14282,2965,4.816863406
A4,A4,dec09,14325,2965,4.831365936
A4,A4,nov09,12724,2965,4.291399663
A4,A4,oct09,12773,2965,4.307925801
A4,A4,sep09,8998,2965,3.034738617
A4,A4,aug09,11910,2965,4.016863406
A4,A4,jul09,12707,2965,4.285666105
A4,A4,jun09,13465,2965,4.541315346
A4,A4,may09,14419,2965,4.86306914
A4,A4,apr09,14684,2965,4.952445194
A4,A4,mar09,13090,2965,4.414839798
A4,A4,feb09,15090,2965,5.089376054
A4,A4,jan09,14249,2965,4.805733558
A5,A5,jun13,10233,1825,5.607123288
A5,A5,may13,14634,3450,4.24173913
A5,A5,apr13,9281,2028,4.57642998
A5,A5,mar13,13547,2790,4.855555556
A5,A5,feb13,12990,3056,4.25065445
A5,A5,jan13,13769,2713,5.075193513
A5,A5,dec12,11423,2083,5.483917427
A5,A5,nov12,12570,2547,4.935217903
A5,A5,oct12,14204,2770,5.127797834
A5,A5,sep12,15279,3122,4.893978219
A5,A5,aug12,14473,2745,5.272495446
A5,A5,jul12,11312,2453,4.611496127
A5,A5,jun12,13969,2943,4.746517159
A5,A5,may12,13422,2520,5.326190476
A5,A5,apr12,14092,2619,5.380679649
A5,A5,mar12,10749,2289,4.69593709
A5,A5,feb12,10649,2410,4.418672199
A5,A5,jan12,12587,2269,5.547377699
A5,A5,dec11,8498,1736,4.89516129
A5,A5,nov11,15339,2612,5.872511485
A5,A5,oct11,10502,2099,5.003334921
A5,A5,sep11,13867,3133,4.426109161
A5,A5,aug11,11594,2613,4.437045542
A5,A5,jul11,10571,2044,5.171722114
A5,A5,jun11,13508,2310,5.847619048
A5,A5,may11,15678,2310,6.787012987
A5,A5,apr11,14318,2310,6.198268398
A5,A5,mar11,14088,2310,6.098701299
A5,A5,feb11,13217,2310,5.721645022
A5,A5,jan11,12969,2310,5.614285714
A5,A5,dec10,14377,2310,6.223809524
A5,A5,nov10,11064,2310,4.78961039
A5,A5,oct10,12704,2310,5.4995671
A5,A5,sep10,10887,2310,4.712987013
A5,A5,aug10,13956,2310,6.041558442
A5,A5,jul10,14447,2310,6.254112554
A5,A5,jun10,12146,2310,5.258008658
A5,A5,may10,10212,2310,4.420779221
A5,A5,apr10,10402,2310,4.503030303
A5,A5,mar10,13295,2310,5.755411255
A5,A5,feb10,15016,2310,6.5004329
A5,A5,jan10,10200,2310,4.415584416
A5,A5,dec09,9269,2310,4.012554113
A5,A5,nov09,10744,2310,4.651082251
A5,A5,oct09,10467,2310,4.531168831
A5,A5,sep09,11495,2310,4.976190476
A5,A5,aug09,15537,2310,6.725974026
A5,A5,jul09,14058,2310,6.085714286
A5,A5,jun09,13265,2310,5.742424242
A5,A5,may09,12275,2310,5.313852814
A5,A5,apr09,14289,2310,6.185714286
A5,A5,mar09,13046,2310,5.647619048
A5,A5,feb09,9582,2310,4.148051948
A5,A5,jan09,10509,2310,4.549350649
A6,A6,jun13,14488,2883,5.025320846
A6,A6,may13,13317,3091,4.308314461
A6,A6,apr13,10927,2161,5.056455345
A6,A6,mar13,10972,1866,5.879957128
A6,A6,feb13,14322,2983,4.801206839
A6,A6,jan13,12956,2435,5.32073922
A6,A6,dec12,14293,2596,5.50577812
A6,A6,nov12,12593,2384,5.282298658
A6,A6,oct12,11899,2690,4.423420074
A6,A6,sep12,8693,1540,5.644805195
A6,A6,aug12,13617,3045,4.471921182
A6,A6,jul12,10513,2583,4.070073558
A6,A6,jun12,11623,2164,5.371072089
A6,A6,may12,13088,2274,5.755496922
A6,A6,apr12,11661,2373,4.91403287
A6,A6,mar12,11573,2232,5.185035842
A6,A6,feb12,10744,2292,4.687609075
A6,A6,jan12,13503,2849,4.73955774
A6,A6,dec11,9839,1828,5.38238512
A6,A6,nov11,9902,1996,4.960921844
A6,A6,oct11,13531,2893,4.677151746
A6,A6,sep11,13636,2322,5.872523686
A6,A6,aug11,9734,1923,5.061882475
A6,A6,jul11,11385,2767,4.11456451
A6,A6,jun11,13574,1915,7.088250653
A6,A6,may11,9115,1915,4.759791123
A6,A6,apr11,9261,1915,4.836031332
A6,A6,mar11,10725,1915,5.600522193
A6,A6,feb11,13198,1915,6.891906005
A6,A6,jan11,15596,1915,8.144125326
A6,A6,dec10,13735,1915,7.17232376
A6,A6,nov10,10332,1915,5.395300261
A6,A6,oct10,12365,1915,6.45691906
A6,A6,sep10,12739,1915,6.652219321
A6,A6,aug10,13941,1915,7.279895561
A6,A6,jul10,14539,1915,7.592167102
A6,A6,jun10,9379,1915,4.897650131
A6,A6,may10,8992,1915,4.695561358
A6,A6,apr10,12684,1915,6.623498695
A6,A6,mar10,10226,1915,5.339947781
A6,A6,feb10,13618,1915,7.111227154
A6,A6,jan10,12659,1915,6.610443864
A6,A6,dec09,14266,1915,7.449608355
A6,A6,nov09,14728,1915,7.690861619
A6,A6,oct09,10162,1915,5.306527415
A6,A6,sep09,11256,1915,5.877806789
A6,A6,aug09,11260,1915,5.879895561
A6,A6,jul09,12715,1915,6.639686684
A6,A6,jun09,9193,1915,4.800522193
A6,A6,may09,13367,1915,6.980156658
A6,A6,apr09,11053,1915,5.771801567
A6,A6,mar09,12388,1915,6.468929504
A6,A6,feb09,9924,1915,5.182245431
A6,A6,jan09,12680,1915,6.621409922
A7,A7,jun13,10938,2231,4.9027342
A7,A7,may13,12080,2142,5.639589169
A7,A7,apr13,13539,2346,5.771099744
A7,A7,mar13,13453,2413,5.575217571
A7,A7,feb13,12754,2444,5.218494272
A7,A7,jan13,11147,2083,5.351416227
A7,A7,dec12,11749,2442,4.811220311
A7,A7,nov12,15816,2728,5.797653959
A7,A7,oct12,13330,2369,5.626846771
A7,A7,sep12,10803,2134,5.062324274
A7,A7,aug12,9275,1863,4.978529254
A7,A7,jul12,11223,2307,4.864759428
A7,A7,jun12,13215,2367,5.583016477
A7,A7,may12,8849,1812,4.883554084
A7,A7,apr12,10577,2343,4.514297909
A7,A7,mar12,13126,2614,5.021423106
A7,A7,feb12,11993,2153,5.57036693
A7,A7,jan12,12873,2623,4.90773923
A7,A7,dec11,14063,2799,5.024294391
A7,A7,nov11,9100,1611,5.648665425
A7,A7,oct11,13889,2768,5.017702312
A7,A7,sep11,10944,2152,5.085501859
A7,A7,aug11,12789,2490,5.136144578
A7,A7,jul11,14445,3161,4.569756406
A7,A7,jun11,11350,2407,4.715413378
A7,A7,may11,14389,2407,5.977980889
A7,A7,apr11,14091,2407,5.854175322
A7,A7,mar11,12740,2407,5.292895721
A7,A7,feb11,9969,2407,4.141670129
A7,A7,jan11,10815,2407,4.493144994
A7,A7,dec10,11890,2407,4.939759036
A7,A7,nov10,14014,2407,5.822185293
A7,A7,oct10,12011,2407,4.990029082
A7,A7,sep10,10561,2407,4.387619443
A7,A7,aug10,10518,2407,4.369754882
A7,A7,jul10,10741,2407,4.462401329
A7,A7,jun10,10007,2407,4.157457416
A7,A7,may10,13537,2407,5.624013295
A7,A7,apr10,15374,2407,6.387203988
A7,A7,mar10,14594,2407,6.063149148
A7,A7,feb10,14774,2407,6.137931034
A7,A7,jan10,14656,2407,6.088907354
A7,A7,dec09,8060,2407,3.348566681
A7,A7,nov09,12866,2407,5.345243041
A7,A7,oct09,10530,2407,4.374740341
A7,A7,sep09,9826,2407,4.082260075
A7,A7,aug09,9790,2407,4.067303698
A7,A7,jul09,10223,2407,4.247195679
A7,A7,jun09,13132,2407,5.455754051
A7,A7,may09,14683,2407,6.100124636
A7,A7,apr09,12253,2407,5.090569173
A7,A7,mar09,12422,2407,5.160781055
A7,A7,feb09,9853,2407,4.093477358
A7,A7,jan09,12148,2407,5.046946406
A8,A8,jun13,11392,2280,4.996491228
A8,A8,may13,8922,1834,4.864776445
A8,A8,apr13,11422,2202,5.187102634
A8,A8,mar13,13142,2478,5.303470541
A8,A8,feb13,14133,2813,5.02417348
A8,A8,jan13,10184,1819,5.598680594
A8,A8,dec12,9660,1690,5.715976331
A8,A8,nov12,12201,2359,5.172106825
A8,A8,oct12,10650,2155,4.94199536
A8,A8,sep12,14691,2952,4.976626016
A8,A8,aug12,12366,2235,5.532885906
A8,A8,jul12,13869,2759,5.026821312
A8,A8,jun12,13025,2686,4.849218168
A8,A8,may12,10661,1967,5.419928826
A8,A8,apr12,9916,2125,4.666352941
A8,A8,mar12,13638,2768,4.927023121
A8,A8,feb12,13326,2402,5.547876769
A8,A8,jan12,11289,2129,5.302489432
A8,A8,dec11,13562,2859,4.743616649
A8,A8,nov11,11060,1992,5.552208835
A8,A8,oct11,11088,2446,4.53311529
A8,A8,sep11,13408,2699,4.967765839
A8,A8,aug11,10579,2308,4.583622184
A8,A8,jul11,12385,2239,5.531487271
A8,A8,jun11,11363,2501,4.543382647
A8,A8,may11,12901,2501,5.158336665
A8,A8,apr11,13806,2501,5.520191923
A8,A8,mar11,13871,2501,5.546181527
A8,A8,feb11,12250,2501,4.898040784
A8,A8,jan11,12457,2501,4.980807677
A8,A8,dec10,11351,2501,4.538584566
A8,A8,nov10,13023,2501,5.207117153
A8,A8,oct10,9836,2501,3.932826869
A8,A8,sep10,13387,2501,5.352658936
A8,A8,aug10,11932,2501,4.770891643
A8,A8,jul10,9773,2501,3.907636945
A8,A8,jun10,14765,2501,5.903638545
A8,A8,may10,12951,2501,5.178328669
A8,A8,apr10,13626,2501,5.448220712
A8,A8,mar10,13724,2501,5.487405038
A8,A8,feb10,12001,2501,4.798480608
A8,A8,jan10,10313,2501,4.12355058
A8,A8,dec09,10837,2501,4.333066773
A8,A8,nov09,12641,2501,5.054378249
A8,A8,oct09,10699,2501,4.277888844
A8,A8,sep09,10444,2501,4.175929628
A8,A8,aug09,12712,2501,5.082766893
A8,A8,jul09,11768,2501,4.705317873
A8,A8,jun09,12787,2501,5.112754898
A8,A8,may09,11397,2501,4.556977209
A8,A8,apr09,14780,2501,5.909636146
A8,A8,mar09,10938,2501,4.37345062
A8,A8,feb09,9773,2501,3.907636945
A8,A8,jan09,15316,2501,6.12395042
A9,A9,jun13,12601,2515,5.010337972
A9,A9,may13,9707,1869,5.193686463
A9,A9,apr13,11914,2479,4.805970149
A9,A9,mar13,11531,2207,5.224739465
A9,A9,feb13,12913,2342,5.513663535
A9,A9,jan13,9648,1663,5.80156344
A9,A9,dec12,12035,2497,4.81978374
A9,A9,nov12,8453,1746,4.841351661
A9,A9,oct12,13856,3082,4.49578196
A9,A9,sep12,9692,1843,5.258817146
A9,A9,aug12,13051,2720,4.798161765
A9,A9,jul12,14617,2788,5.242826399
A9,A9,jun12,14482,2755,5.256624319
A9,A9,may12,10494,2314,4.535004322
A9,A9,apr12,11086,2309,4.801212646
A9,A9,mar12,15225,2887,5.273640457
A9,A9,feb12,13531,2934,4.611792774
A9,A9,jan12,12320,2384,5.167785235
A9,A9,dec11,13974,2903,4.813641061
A9,A9,nov11,15563,2861,5.439706396
A9,A9,oct11,10620,2366,4.488588335
A9,A9,sep11,12734,2258,5.639503986
A9,A9,aug11,13800,3091,4.464574571
A9,A9,jul11,14059,3227,4.356678029
A9,A9,jun11,12302,2132,5.770168856
A9,A9,may11,12309,2132,5.773452158
A9,A9,apr11,13391,2132,6.280956848
A9,A9,mar11,12058,2132,5.655722326
A9,A9,feb11,14120,2132,6.622889306
A9,A9,jan11,9893,2132,4.640243902
A9,A9,dec10,14365,2132,6.737804878
A9,A9,nov10,13410,2132,6.289868668
A9,A9,oct10,10675,2132,5.007035647
A9,A9,sep10,10776,2132,5.054409006
A9,A9,aug10,10894,2132,5.109756098
A9,A9,jul10,10624,2132,4.983114447
A9,A9,jun10,10498,2132,4.924015009
A9,A9,may10,8565,2132,4.017354597
A9,A9,apr10,14132,2132,6.628517824
A9,A9,mar10,13023,2132,6.108348968
A9,A9,feb10,12539,2132,5.881332083
A9,A9,jan10,13137,2132,6.161819887
A9,A9,dec09,9953,2132,4.668386492
A9,A9,nov09,13285,2132,6.231238274
A9,A9,oct09,11823,2132,5.545497186
A9,A9,sep09,12052,2132,5.652908068
A9,A9,aug09,11633,2132,5.456378987
A9,A9,jul09,11316,2132,5.307692308
A9,A9,jun09,14756,2132,6.92120075
A9,A9,may09,11811,2132,5.539868668
A9,A9,apr09,14841,2132,6.961069418
A9,A9,mar09,12615,2132,5.916979362
A9,A9,feb09,13636,2132,6.39587242
A9,A9,jan09,13118,2132,6.152908068
A10,A10,jun13,13699,2583,5.303523035
A10,A10,may13,11583,2077,5.576793452
A10,A10,apr13,12833,2473,5.189243833
A10,A10,mar13,13168,2436,5.405582923
A10,A10,feb13,12751,2622,4.863081617
A10,A10,jan13,9391,2104,4.463403042
A10,A10,dec12,11971,2472,4.84263754
A10,A10,nov12,14276,2762,5.16871832
A10,A10,oct12,11132,2298,4.844212359
A10,A10,sep12,13841,2988,4.632195448
A10,A10,aug12,14740,3110,4.739549839
A10,A10,jul12,15351,3106,4.942369607
A10,A10,jun12,11393,2332,4.885506003
A10,A10,may12,10254,1887,5.434022258
A10,A10,apr12,13728,2881,4.765012149
A10,A10,mar12,9443,2056,4.592898833
A10,A10,feb12,11215,2156,5.201762523
A10,A10,jan12,14100,2763,5.103148751
A10,A10,dec11,11466,2758,4.157360406
A10,A10,nov11,12994,2911,4.463758159
A10,A10,oct11,10937,2480,4.410080645
A10,A10,sep11,11992,2288,5.241258741
A10,A10,aug11,11840,2438,4.856439705
A10,A10,jul11,10210,2041,5.00244978
A10,A10,jun11,13328,2195,6.071981777
A10,A10,may11,14832,2195,6.757175399
A10,A10,apr11,12827,2195,5.843735763
A10,A10,mar11,11954,2195,5.446013667
A10,A10,feb11,11950,2195,5.444191344
A10,A10,jan11,13292,2195,6.055580866
A10,A10,dec10,14176,2195,6.458314351
A10,A10,nov10,13526,2195,6.162186788
A10,A10,oct10,12092,2195,5.508883827
A10,A10,sep10,15044,2195,6.853758542
A10,A10,aug10,11687,2195,5.324373576
A10,A10,jul10,12447,2195,5.670615034
A10,A10,jun10,12002,2195,5.467881549
A10,A10,may10,15542,2195,7.080637813
A10,A10,apr10,13672,2195,6.228701595
A10,A10,mar10,13771,2195,6.2738041
A10,A10,feb10,13568,2195,6.181321185
A10,A10,jan10,10435,2195,4.753986333
A10,A10,dec09,10993,2195,5.008200456
A10,A10,nov09,11864,2195,5.40501139
A10,A10,oct09,9031,2195,4.114350797
A10,A10,sep09,11072,2195,5.044191344
A10,A10,aug09,14045,2195,6.398633257
A10,A10,jul09,14839,2195,6.760364465
A10,A10,jun09,12902,2195,5.877904328
A10,A10,may09,9940,2195,4.528473804
A10,A10,apr09,13086,2195,5.961731207
A10,A10,mar09,12030,2195,5.480637813
A10,A10,feb09,14468,2195,6.591343964
A10,A10,jan09,10654,2195,4.853758542
A11,A11,jun13,12447,2596,4.794684129
A11,A11,may13,15726,3145,5.000317965
A11,A11,apr13,11461,2512,4.5625
A11,A11,mar13,14566,3360,4.335119048
A11,A11,feb13,11557,2524,4.578843106
A11,A11,jan13,15319,3025,5.064132231
A11,A11,dec12,15166,2951,5.139274822
A11,A11,nov12,12052,2725,4.422752294
A11,A11,oct12,8542,1951,4.378267555
A11,A11,sep12,10500,2105,4.988123515
A11,A11,aug12,9041,1990,4.54321608
A11,A11,jul12,9225,1619,5.697961705
A11,A11,jun12,11125,2407,4.62193602
A11,A11,may12,11534,2713,4.251382234
A11,A11,apr12,9663,2203,4.386291421
A11,A11,mar12,14289,2889,4.946002077
A11,A11,feb12,11401,2267,5.029113366
A11,A11,jan12,11482,2132,5.385553471
A11,A11,dec11,12973,2740,4.734671533
A11,A11,nov11,13168,2848,4.623595506
A11,A11,oct11,9434,1807,5.220807969
A11,A11,sep11,13087,2588,5.056800618
A11,A11,aug11,11873,2572,4.616251944
A11,A11,jul11,12903,2693,4.791310806
A11,A11,jun11,13661,2000,6.8305
A11,A11,may11,11651,2000,5.8255
A11,A11,apr11,15536,2000,7.768
A11,A11,mar11,14425,2000,7.2125
A11,A11,feb11,11662,2000,5.831
A11,A11,jan11,12083,2000,6.0415
A11,A11,dec10,14091,2000,7.0455
A11,A11,nov10,10043,2000,5.0215
A11,A11,oct10,13763,2000,6.8815
A11,A11,sep10,9530,2000,4.765
A11,A11,aug10,13776,2000,6.888
A11,A11,jul10,11376,2000,5.688
A11,A11,jun10,13342,2000,6.671
A11,A11,may10,14164,2000,7.082
A11,A11,apr10,12957,2000,6.4785
A11,A11,mar10,12238,2000,6.119
A11,A11,feb10,11416,2000,5.708
A11,A11,jan10,9169,2000,4.5845
A11,A11,dec09,12965,2000,6.4825
A11,A11,nov09,12525,2000,6.2625
A11,A11,oct09,10043,2000,5.0215
A11,A11,sep09,10513,2000,5.2565
A11,A11,aug09,10926,2000,5.463
A11,A11,jul09,9131,2000,4.5655
A11,A11,jun09,15373,2000,7.6865
A11,A11,may09,13924,2000,6.962
A11,A11,apr09,12919,2000,6.4595
A11,A11,mar09,10660,2000,5.33
A11,A11,feb09,8571,2000,4.2855
A11,A11,jan09,11485,2000,5.7425
A12,A12,jun13,10006,2055,4.869099757
A12,A12,may13,10307,2187,4.712848651
A12,A12,apr13,13044,2473,5.274565305
A12,A12,mar13,12229,2716,4.50257732
A12,A12,feb13,14624,2539,5.759747932
A12,A12,jan13,12995,2580,5.036821705
A12,A12,dec12,11159,2376,4.696548822
A12,A12,nov12,13078,2677,4.885319387
A12,A12,oct12,11374,2535,4.48678501
A12,A12,sep12,10864,2015,5.391563275
A12,A12,aug12,11114,2031,5.472181192
A12,A12,jul12,13682,2492,5.490369181
A12,A12,jun12,10849,2047,5.299951148
A12,A12,may12,12369,2502,4.943645084
A12,A12,apr12,15159,2601,5.828143022
A12,A12,mar12,13100,2365,5.539112051
A12,A12,feb12,15431,3276,4.71031746
A12,A12,jan12,13329,2630,5.068060837
A12,A12,dec11,8790,1936,4.540289256
A12,A12,nov11,11510,2031,5.667159035
A12,A12,oct11,10583,2086,5.073346117
A12,A12,sep11,9779,1929,5.069466045
A12,A12,aug11,14668,2928,5.009562842
A12,A12,jul11,14539,2814,5.166666667
A12,A12,jun11,12682,2862,4.431167016
A12,A12,may11,10590,2862,3.700209644
A12,A12,apr11,12048,2862,4.209643606
A12,A12,mar11,13197,2862,4.611111111
A12,A12,feb11,13704,2862,4.788259958
A12,A12,jan11,13717,2862,4.792802236
A12,A12,dec10,14162,2862,4.948287911
A12,A12,nov10,12108,2862,4.230607966
A12,A12,oct10,9638,2862,3.367575122
A12,A12,sep10,11426,2862,3.992313068
A12,A12,aug10,11134,2862,3.890286513
A12,A12,jul10,14199,2862,4.961215933
A12,A12,jun10,14797,2862,5.170160727
A12,A12,may10,13394,2862,4.679944095
A12,A12,apr10,10034,2862,3.505939902
A12,A12,mar10,15540,2862,5.429769392
A12,A12,feb10,12650,2862,4.419986024
A12,A12,jan10,11166,2862,3.901467505
A12,A12,dec09,9116,2862,3.185185185
A12,A12,nov09,13969,2862,4.880852551
A12,A12,oct09,14313,2862,5.001048218
